product,(All)
,
Row Labels,Sum of total_sales
11/18/2020,62801
11/19/2020,53940
11/20/2020,77205
11/21/2020,183043
11/22/2020,282840
11/23/2020,138150
11/24/2020,92268
11/25/2020,71938
11/26/2020,102842
11/27/2020,211542
11/28/2020,268939
11/29/2020,138741
11/30/2020,92516
12/1/2020,62801
12/2/2020,69264
12/3/2020,166548
12/4/2020,207359
12/5/2020,102701
12/6/2020,38484
12/7/2020,31994
12/8/2020,44838
12/9/2020,82028
12/10/2020,172768
12/11/2020,71972
12/12/2020,35800
12/13/2020,26922
12/14/2020,34529
12/15/2020,102940
12/16/2020,179186
12/17/2020,81976
12/18/2020,59368
12/19/2020,61710
12/20/2020,70518
12/21/2020,138599
12/22/2020,647334
12/23/2020,469644
12/24/2020,545099
12/25/2020,629514
12/26/2020,560978
12/27/2020,665532
12/28/2020,564234
12/29/2020,576898
12/30/2020,808435
1/1/2021,654902
1/2/2021,730614
1/3/2021,1030039
1/4/2021,572074
1/5/2021,1803002
1/6/2021,2686322
1/7/2021,1380318
1/8/2021,757603
1/9/2021,3217025
1/10/2021,3675792
1/11/2021,1622203
1/12/2021,3219173
1/13/2021,2839848
1/14/2021,3052710
1/15/2021,724186
1/16/2021,1218793
1/17/2021,4880183
1/18/2021,1532677
1/19/2021,1931997
1/20/2021,1700171
1/21/2021,1724054
1/22/2021,1485961
1/23/2021,2919455
1/24/2021,3719207
1/25/2021,685813
1/26/2021,1839502
1/27/2021,695226
1/28/2021,737083
1/29/2021,824829
1/30/2021,677718
1/31/2021,686916
2/1/2021,771170
2/2/2021,698480
2/3/2021,1081139
2/4/2021,3119525
2/5/2021,1351581
2/6/2021,1132327
2/7/2021,2586040
2/8/2021,1659535
2/9/2021,1290182
2/10/2021,3921862
2/11/2021,2521285
2/12/2021,3641138
2/13/2021,1533100
2/14/2021,1172602
2/15/2021,2110334
2/16/2021,794150
2/17/2021,4274348
2/18/2021,2112546
2/19/2021,1314948
2/20/2021,254540
2/21/2021,1372145
2/22/2021,2880158
2/23/2021,951045
2/24/2021,1617032
2/25/2021,246264
2/26/2021,1254122
2/27/2021,266016
2/28/2021,174551
3/1/2021,174641
3/2/2021,1589985
3/3/2021,904307
3/4/2021,311786
3/5/2021,2142012
3/6/2021,2040057
