,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,title
102,https://www.nytimes.com/2020/01/09/movies/the-woman-who-loves-giraffes-review.html,"This warm documentary uses one woman’s singular passion to fuel a tale of zoological discovery, blatant sexism and environmental alarm.",The New York Times,"subject: Documentary Films and Programs;subject: Giraffes;creative_works: The Woman Who Loves Giraffes (Movie);persons: Dagg, Anne Innis;persons: Reid, Alison (Filmmaker);",2020-01-09T12:00:04+0000,279,‘The Woman Who Loves Giraffes’ Review: Crackers for Animals,,,A Special Spot  In Her Heart,,,,By Jeannette Catsoulis,"[{'firstname': 'Jeannette', 'middlename': None, 'lastname': 'Catsoulis', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,The Woman Who Loves Giraffes
103,https://www.nytimes.com/2019/11/26/movies/queen-and-slim-review.html,Daniel Kaluuya and Jodie Turner-Smith star in Melina Matsoukas’s dreamy but intense outlaw romance.,The New York Times,"subject: Movies;creative_works: Queen & Slim (Movie);persons: Matsoukas, Melina;persons: Waithe, Lena;persons: Kaluuya, Daniel;persons: Turner-Smith, Jodie;",2019-11-26T17:41:50+0000,799,‘Queen & Slim’ Review: Love on the Run,critic’s pick,,Love Simmers Inside a Cauldron,,,,By A.O. Scott,"[{'firstname': 'A.', 'middlename': 'O.', 'lastname': 'Scott', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Queen & Slim
104,https://www.nytimes.com/2019/11/05/movies/marriage-story-review.html,"Adam Driver and Scarlett Johansson self-consciously uncouple in Noah Baumbach’s tender, stinging tale of divorce.",The New York Times,"subject: Movies;persons: Baumbach, Noah;creative_works: Marriage Story (Movie);persons: Driver, Adam;persons: Johansson, Scarlett;persons: ALDA, ALAN;persons: Dern, Laura;persons: Liotta, Ray;",2019-11-05T19:01:02+0000,1244,‘Marriage Story’ Review: Dance Me to the End of Love,critic’s pick,,"Friendly Split, Shattering Break",,,,By A.O. Scott,"[{'firstname': 'A.', 'middlename': 'O.', 'lastname': 'Scott', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Marriage Story
105,https://www.nytimes.com/2019/10/17/movies/cyrano-my-love-review.html,This superficial take on the writing and initial staging of “Cyrano de Bergerac” is a whirlwind of soapy declarations and backstage chaos.,The New York Times,"subject: Movies;creative_works: Cyrano, My Love (Movie);persons: Michalik, Alexis;",2019-10-17T11:00:03+0000,291,"‘Cyrano, My Love’ Review: A Nose for Romance",,,"Cyrano, My Love",,,,By Jeannette Catsoulis,"[{'firstname': 'Jeannette', 'middlename': None, 'lastname': 'Catsoulis', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,"Cyrano, My Love"
106,https://www.nytimes.com/2019/10/03/movies/pretenders-review.html,"Directed by James Franco and featuring James Franco, this film indulges in a distasteful brand of nostalgia.",The New York Times,"subject: Movies;persons: Franco, James;creative_works: Pretenders (Movie);",2019-10-03T11:00:07+0000,276,"‘Pretenders’ Review: A Little New Wave Love, a Lot of Misogyny",,,Pretenders,,,,By Glenn Kenny,"[{'firstname': 'Glenn', 'middlename': None, 'lastname': 'Kenny', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Pretenders
107,https://www.nytimes.com/2019/09/26/movies/first-love-review.html,The prolific director Takashi Miike delivers an unusually satisfying Japanese genre romp.,The New York Times,"subject: Movies;persons: Miike, Takashi;creative_works: First Love (Movie);",2019-09-26T11:00:06+0000,398,‘First Love’ Review: Eluding Assassins With the Help of a Boxer,Critic’s Pick,,"Assassin Variations, by Way of Japan",,,,By Glenn Kenny,"[{'firstname': 'Glenn', 'middlename': None, 'lastname': 'Kenny', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,First Love
108,https://www.nytimes.com/2019/09/19/movies/loro-review.html,Toni Servillo plays the former Italian Prime Minister Silvio Berlusconi in Paolo Sorrentino’s extravagant portrait.,The New York Times,"subject: Movies;creative_works: Loro (Movie);persons: Servillo, Toni;persons: Sorrentino, Paolo;persons: Berlusconi, Silvio;glocations: Italy;",2019-09-19T17:27:07+0000,820,"‘Loro’ Review: A Corrupt Leader, and the People Who Love Him",,,Corruption and Charisma Personified,,,,By A.O. Scott,"[{'firstname': 'A.', 'middlename': 'O.', 'lastname': 'Scott', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Loro
109,https://www.nytimes.com/2019/08/29/movies/falling-inn-love-review.html,"It’s hard to find a reliable, talented, reasonably priced, eco-friendly contractor these days.",The New York Times,"subject: Movies;organizations: Netflix Inc;persons: Kumble, Roger;persons: Milian, Christina;persons: Demos, Adam;creative_works: Falling Inn Love (Movie);",2019-08-29T14:56:44+0000,374,‘Falling Inn Love’ Review: A Prize That Needs Some Work,Streaming Movie Review,,A Fine Romance to Watch While Sorting Socks,,,,By Helen T. Verongos,"[{'firstname': 'Helen', 'middlename': 'T.', 'lastname': 'Verongos', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Falling Inn Love
110,https://www.nytimes.com/2019/08/22/movies/hot-air-review.html,Steve Coogan stars in this cumbersome political comedy.,The New York Times,"subject: Movies;persons: Coogan, Steve;persons: Coraci, Frank;creative_works: Hot Air (Movie);persons: Campbell, Neve;",2019-08-22T15:50:09+0000,266,‘Hot Air’ Review: A Right-Wing Radio Host Learns to Love Again,,,Hot Air,,,,By Bilge Ebiri,"[{'firstname': 'Bilge', 'middlename': None, 'lastname': 'Ebiri', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Hot Air
111,https://www.nytimes.com/2019/08/08/movies/love-anthosa-review.html,"Anton Yelchin, who played Chekov in the J.J. Abrams-produced “Star Trek” films, assembled an eclectic filmography before his death at 27 in 2016.",The New York Times,"subject: Documentary Films and Programs;creative_works: Love, Antosha (Movie);persons: Price, Garret;persons: Yelchin, Anton;",2019-08-08T09:00:10+0000,319,"‘Love, Antosha’ Review: A Heartbreaking Look at an Actor’s Too-Short Life",Critic’s Pick,,"Love, Antosha",,,,By Glenn Kenny,"[{'firstname': 'Glenn', 'middlename': None, 'lastname': 'Kenny', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,"Love, Antosha"
